,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,Avg_Bedrooms_Per_Household,Avg_Rooms_Per_Household,population,households,median_income,ocean_proximity,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,Lat-Long
0,-122.23,37.88,41.0,880.0,129.0,1.0238095238095237,6.984126984126984,322.0,126.0,83252.0,NEAR BAY,452600.0,0,0,0,1,0,"(37.88, -122.23)"
1,-122.22,37.86,21.0,7099.0,1106.0,0.9718804920913884,6.238137082601054,2401.0,1138.0,83013.99999999999,NEAR BAY,358500.0,0,0,0,1,0,"(37.86, -122.22)"
2,-122.24,37.85,52.0,1467.0,190.0,1.073446327683616,8.288135593220339,496.0,177.0,72574.0,NEAR BAY,352100.0,0,0,0,1,0,"(37.85, -122.24)"
3,-122.25,37.85,52.0,1274.0,235.0,1.0730593607305936,5.8173515981735155,558.0,219.0,56430.99999999999,NEAR BAY,341300.0,0,0,0,1,0,"(37.85, -122.25)"
4,-122.25,37.85,52.0,1627.0,280.0,1.0810810810810811,6.281853281853282,565.0,259.0,38462.0,NEAR BAY,342200.0,0,0,0,1,0,"(37.85, -122.25)"
5,-122.25,37.85,52.0,919.0,213.0,1.1036269430051813,4.761658031088083,413.0,193.0,40368.00000000001,NEAR BAY,269700.0,0,0,0,1,0,"(37.85, -122.25)"
6,-122.25,37.84,52.0,2535.0,489.0,0.9513618677042801,4.9319066147859925,1094.0,514.0,36591.0,NEAR BAY,299200.0,0,0,0,1,0,"(37.84, -122.25)"
7,-122.25,37.84,52.0,3104.0,687.0,1.061823802163833,4.797527047913447,1157.0,647.0,31200.0,NEAR BAY,241400.0,0,0,0,1,0,"(37.84, -122.25)"
8,-122.26,37.84,42.0,2555.0,665.0,1.1176470588235294,4.294117647058823,1206.0,595.0,20804.0,NEAR BAY,226700.0,0,0,0,1,0,"(37.84, -122.26)"
9,-122.25,37.84,52.0,3549.0,707.0,0.9901960784313726,4.970588235294118,1551.0,714.0,36912.0,NEAR BAY,261100.0,0,0,0,1,0,"(37.84, -122.25)"
10,-122.26,37.85,52.0,2202.0,434.0,1.0796019900497513,5.477611940298507,910.0,402.0,32031.0,NEAR BAY,281500.0,0,0,0,1,0,"(37.85, -122.26)"
11,-122.26,37.85,52.0,3503.0,752.0,1.0245231607629428,4.772479564032698,1504.0,734.0,32705.000000000004,NEAR BAY,241800.0,0,0,0,1,0,"(37.85, -122.26)"
12,-122.26,37.85,52.0,2491.0,474.0,1.0128205128205128,5.322649572649572,1098.0,468.0,30750.0,NEAR BAY,213500.0,0,0,0,1,0,"(37.85, -122.26)"
13,-122.26,37.84,52.0,696.0,191.0,1.0977011494252873,4.0,345.0,174.0,26736.0,NEAR BAY,191300.0,0,0,0,1,0,"(37.84, -122.26)"
14,-122.26,37.85,52.0,2643.0,626.0,1.0096774193548388,4.262903225806451,1212.0,620.0,19167.0,NEAR BAY,159200.0,0,0,0,1,0,"(37.85, -122.26)"
15,-122.26,37.85,50.0,1120.0,283.0,1.071969696969697,4.242424242424242,697.0,264.0,21250.0,NEAR BAY,140000.0,0,0,0,1,0,"(37.85, -122.26)"
16,-122.27,37.85,52.0,1966.0,347.0,1.0483383685800605,5.9395770392749245,793.0,331.0,27750.0,NEAR BAY,152500.0,0,0,0,1,0,"(37.85, -122.27)"
17,-122.27,37.85,52.0,1228.0,293.0,0.966996699669967,4.052805280528053,648.0,303.0,21202.0,NEAR BAY,155500.0,0,0,0,1,0,"(37.85, -122.27)"
18,-122.26,37.84,50.0,2239.0,455.0,1.0859188544152745,5.343675417661098,990.0,419.0,19911.0,NEAR BAY,158700.0,0,0,0,1,0,"(37.84, -122.26)"
19,-122.27,37.84,52.0,1503.0,298.0,1.0836363636363637,5.465454545454546,690.0,275.0,26033.0,NEAR BAY,162900.0,0,0,0,1,0,"(37.84, -122.27)"
20,-122.27,37.85,40.0,751.0,184.0,1.108433734939759,4.524096385542169,409.0,166.0,13577.999999999998,NEAR BAY,147500.0,0,0,0,1,0,"(37.85, -122.27)"
21,-122.27,37.85,42.0,1639.0,367.0,1.0027322404371584,4.478142076502732,929.0,366.0,17135.0,NEAR BAY,159800.0,0,0,0,1,0,"(37.85, -122.27)"
22,-122.27,37.84,52.0,2436.0,541.0,1.1317991631799162,5.096234309623431,1015.0,478.0,17250.0,NEAR BAY,113900.0,0,0,0,1,0,"(37.84, -122.27)"
23,-122.27,37.84,52.0,1688.0,337.0,1.0369230769230768,5.193846153846154,853.0,325.0,21806.0,NEAR BAY,99700.0,0,0,0,1,0,"(37.84, -122.27)"
24,-122.27,37.84,52.0,2224.0,437.0,1.0355450236966826,5.270142180094787,1006.0,422.0,26000.0,NEAR BAY,132600.0,0,0,0,1,0,"(37.84, -122.27)"
25,-122.28,37.85,41.0,535.0,123.0,1.0336134453781514,4.495798319327731,317.0,119.0,24038.0,NEAR BAY,107500.0,0,0,0,1,0,"(37.85, -122.28)"
26,-122.28,37.85,49.0,1130.0,244.0,1.0209205020920502,4.7280334728033475,607.0,239.0,24597.000000000004,NEAR BAY,93800.0,0,0,0,1,0,"(37.85, -122.28)"
27,-122.28,37.85,52.0,1898.0,421.0,1.0604534005037782,4.7808564231738035,1102.0,397.0,18080.0,NEAR BAY,105500.0,0,0,0,1,0,"(37.85, -122.28)"
28,-122.28,37.84,50.0,2082.0,492.0,1.040169133192389,4.40169133192389,1131.0,473.0,16424.0,NEAR BAY,108900.0,0,0,0,1,0,"(37.84, -122.28)"
29,-122.28,37.84,52.0,729.0,160.0,1.032258064516129,4.703225806451613,395.0,155.0,16875.0,NEAR BAY,132000.0,0,0,0,1,0,"(37.84, -122.28)"
30,-122.28,37.84,49.0,1916.0,447.0,1.1825396825396826,5.068783068783069,863.0,378.0,19274.0,NEAR BAY,122300.0,0,0,0,1,0,"(37.84, -122.28)"
31,-122.28,37.84,52.0,2153.0,481.0,1.090702947845805,4.882086167800454,1168.0,441.0,19615.0,NEAR BAY,115200.0,0,0,0,1,0,"(37.84, -122.28)"
32,-122.27,37.84,48.0,1922.0,409.0,1.2208955223880598,5.737313432835821,1026.0,335.0,17969.0,NEAR BAY,110400.0,0,0,0,1,0,"(37.84, -122.27)"
33,-122.27,37.83,49.0,1655.0,366.0,1.1124620060790273,5.0303951367781155,754.0,329.0,13750.0,NEAR BAY,104900.0,0,0,0,1,0,"(37.83, -122.27)"
34,-122.27,37.83,51.0,2665.0,574.0,1.0708955223880596,4.972014925373134,1258.0,536.0,27303.0,NEAR BAY,109700.0,0,0,0,1,0,"(37.83, -122.27)"
35,-122.27,37.83,49.0,1215.0,282.0,1.0681818181818181,4.6022727272727275,570.0,264.0,14861.0,NEAR BAY,97200.0,0,0,0,1,0,"(37.83, -122.27)"
36,-122.27,37.83,48.0,1798.0,432.0,1.1550802139037433,4.807486631016043,987.0,374.0,10972.0,NEAR BAY,104500.0,0,0,0,1,0,"(37.83, -122.27)"
37,-122.28,37.83,52.0,1511.0,390.0,0.967741935483871,3.7493796526054592,901.0,403.0,14103.000000000002,NEAR BAY,103900.0,0,0,0,1,0,"(37.83, -122.28)"
38,-122.26,37.83,52.0,1470.0,330.0,1.0679611650485437,4.757281553398058,689.0,309.0,34800.0,NEAR BAY,191400.0,0,0,0,1,0,"(37.83, -122.26)"
39,-122.26,37.83,52.0,2432.0,715.0,1.0272988505747127,3.4942528735632186,1377.0,696.0,25898.0,NEAR BAY,176000.0,0,0,0,1,0,"(37.83, -122.26)"
40,-122.26,37.83,52.0,1665.0,419.0,1.0607594936708862,4.215189873417722,946.0,395.0,20978.0,NEAR BAY,155400.0,0,0,0,1,0,"(37.83, -122.26)"
41,-122.26,37.83,51.0,936.0,311.0,1.248995983935743,3.7590361445783134,517.0,249.0,12851.999999999998,NEAR BAY,150000.0,0,0,0,1,0,"(37.83, -122.26)"
42,-122.26,37.84,49.0,713.0,202.0,1.0687830687830688,3.7724867724867726,462.0,189.0,10250.0,NEAR BAY,118800.0,0,0,0,1,0,"(37.84, -122.26)"
43,-122.26,37.84,52.0,950.0,202.0,1.02020202020202,4.797979797979798,467.0,198.0,39643.0,NEAR BAY,188800.0,0,0,0,1,0,"(37.84, -122.26)"
44,-122.26,37.83,52.0,1443.0,311.0,1.0650684931506849,4.941780821917808,660.0,292.0,30125.0,NEAR BAY,184400.0,0,0,0,1,0,"(37.83, -122.26)"
45,-122.26,37.83,52.0,1656.0,420.0,1.0994764397905759,4.335078534031414,718.0,382.0,26768.0,NEAR BAY,182300.0,0,0,0,1,0,"(37.83, -122.26)"
46,-122.26,37.83,50.0,1125.0,322.0,1.0592105263157894,3.700657894736842,616.0,304.0,20259.999999999996,NEAR BAY,142500.0,0,0,0,1,0,"(37.83, -122.26)"
47,-122.27,37.82,43.0,1007.0,312.0,1.233201581027668,3.9802371541501977,558.0,253.0,17348.0,NEAR BAY,137500.0,0,0,0,1,0,"(37.82, -122.27)"
48,-122.26,37.82,40.0,624.0,195.0,1.21875,3.9,423.0,160.0,9506.0,NEAR BAY,187500.0,0,0,0,1,0,"(37.82, -122.26)"
49,-122.27,37.82,40.0,946.0,375.0,1.0653409090909092,2.6875,700.0,352.0,17750.0,NEAR BAY,112500.0,0,0,0,1,0,"(37.82, -122.27)"
50,-122.27,37.82,21.0,896.0,453.0,1.0342465753424657,2.045662100456621,735.0,438.0,9218.0,NEAR BAY,171900.0,0,0,0,1,0,"(37.82, -122.27)"
51,-122.27,37.82,43.0,1868.0,456.0,1.1203931203931203,4.58968058968059,1061.0,407.0,15045.0,NEAR BAY,93800.0,0,0,0,1,0,"(37.82, -122.27)"
52,-122.27,37.82,41.0,3221.0,853.0,1.1847222222222222,4.473611111111111,1959.0,720.0,11108.0,NEAR BAY,97500.0,0,0,0,1,0,"(37.82, -122.27)"
53,-122.27,37.82,52.0,1630.0,456.0,1.14,4.075,1162.0,400.0,12475.0,NEAR BAY,104200.0,0,0,0,1,0,"(37.82, -122.27)"
54,-122.28,37.82,52.0,1170.0,235.0,1.0085836909871244,5.021459227467811,701.0,233.0,16097.999999999998,NEAR BAY,87500.0,0,0,0,1,0,"(37.82, -122.28)"
55,-122.28,37.82,52.0,945.0,243.0,1.1045454545454545,4.295454545454546,576.0,220.0,14113.0,NEAR BAY,83100.0,0,0,0,1,0,"(37.82, -122.28)"
56,-122.28,37.82,52.0,1238.0,288.0,1.111969111969112,4.77992277992278,622.0,259.0,15057.0,NEAR BAY,87500.0,0,0,0,1,0,"(37.82, -122.28)"
57,-122.28,37.82,52.0,1489.0,335.0,1.3729508196721312,6.102459016393443,728.0,244.0,8172.0,NEAR BAY,85300.0,0,0,0,1,0,"(37.82, -122.28)"
