InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,TotalCost,Revenue,TotalSales,Day,Month
221958,SKU_1964,White Mug,38,2020-01-01 0:00,1.71,37039,Australia,0.47,Bank Transfer,10.79,Apparel,In-store,Not Returned,UPS,London,Medium,45.2294,34.4394,64.98,Wednesday,January
771155,SKU_1241,White Mug,18,2020-01-01 1:00,41.25,19144,Spain,0.19,paypall,9.51,Electronics,Online,Not Returned,UPS,Rome,Medium,610.935,601.425,742.5,Wednesday,January
231932,SKU_1501,Headphones,49,2020-01-01 2:00,29.11,50472,Germany,0.35,Bank Transfer,23.03,Electronics,Online,Returned,UPS,Berlin,High,950.1835,927.1535,1426.39,Wednesday,January
465838,SKU_1760,Desk Lamp,14,2020-01-01 3:00,76.68,96586,Netherlands,0.14,paypall,11.08,Accessories,Online,Not Returned,Royal Mail,Rome,Low,934.3072,923.2272,1073.52,Wednesday,January
744167,SKU_1006,Office Chair,47,2020-01-01 5:00,70.16,53887,Sweden,0.48,Credit Card,13.98,Electronics,Online,Not Returned,DHL,London,Medium,1728.6904,1714.7104,3297.52,Wednesday,January
210268,SKU_1087,USB Cable,25,2020-01-01 6:00,85.74,46567,Belgium,0.15,Bank Transfer,12.92,Stationery,Online,Not Returned,FedEx,Amsterdam,High,1834.895,1821.975,2143.5,Wednesday,January
832180,SKU_1597,Notebook,8,2020-01-01 7:00,95.65,75098,Norway,0.04,Bank Transfer,6.48,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Low,741.072,734.592,765.2,Wednesday,January
154886,SKU_1907,Wireless Mouse,19,2020-01-01 8:00,98.19,87950,Belgium,0.05,paypall,12.56,Apparel,Online,Not Returned,UPS,Berlin,High,1784.8895,1772.3295,1865.61,Wednesday,January
187498,SKU_1450,Office Chair,41,2020-01-01 11:00,59.51,32466,Australia,0.39,Bank Transfer,12,Furniture,In-store,Not Returned,FedEx,Amsterdam,Low,1500.3451,1488.3451,2439.91,Wednesday,January
999159,SKU_1330,Blue Pen,41,2020-01-01 12:00,25.59,89794,Australia,0.01,Credit Card,15.58,Electronics,In-store,Not Returned,FedEx,Berlin,Medium,1054.2781,1038.6981,1049.19,Wednesday,January
275203,SKU_1709,Headphones,3,2020-01-01 13:00,2.09,97817,Spain,0.47,Credit Card,19.22,Stationery,Online,Not Returned,Royal Mail,Paris,Low,22.5431,3.3231,6.27,Wednesday,January
291335,SKU_1874,Wall Clock,29,2020-01-01 14:00,35.88,43017,Portugal,0.06,Credit Card,14.85,Electronics,Online,Not Returned,Royal Mail,Amsterdam,High,992.9388,978.0888,1040.52,Wednesday,January
378167,SKU_1163,T-shirt,16,2020-01-01 15:00,82.58,85852,Belgium,0.41,Bank Transfer,27.02,Furniture,In-store,Not Returned,UPS,Amsterdam,High,806.5752,779.5552,1321.28,Wednesday,January
141090,SKU_1656,Office Chair,7,2020-01-01 16:00,70.85,15473,Germany,0,Bank Transfer,23.66,Apparel,In-store,Not Returned,FedEx,Paris,High,519.61,495.95,495.95,Wednesday,January
429365,SKU_1341,Headphones,49,2020-01-01 17:00,14.91,55644,Netherlands,0.36,Bank Transfer,5.32,Stationery,Online,Not Returned,Royal Mail,Paris,Medium,472.8976,467.5776,730.59,Wednesday,January
164820,SKU_1000,Backpack,21,2020-01-01 18:00,1.07,20566,Sweden,0.49,Bank Transfer,15.09,Accessories,Online,Not Returned,FedEx,London,Medium,26.5497,11.4597,22.47,Wednesday,January
887201,SKU_1119,USB Cable,46,2020-01-01 19:00,27.03,19819,Spain,0.26,Credit Card,23.8,Furniture,In-store,Returned,UPS,London,Medium,943.9012,920.1012,1243.38,Wednesday,January
421879,SKU_1578,Wall Clock,43,2020-01-01 20:00,77.17,24716,Norway,0.3,Bank Transfer,24.77,Accessories,In-store,Returned,FedEx,Berlin,Low,2347.587,2322.817,3318.31,Wednesday,January
818315,SKU_1463,Notebook,14,2020-01-01 21:00,66.89,16604,Norway,0.42,paypall,15.05,Furniture,Online,Not Returned,FedEx,Berlin,High,558.1968,543.1468,936.46,Wednesday,January
427069,SKU_1866,Wireless Mouse,39,2020-01-01 22:00,66.18,45103,Sweden,0.07,Bank Transfer,27.02,Accessories,Online,Not Returned,Royal Mail,Paris,High,2427.3686,2400.3486,2581.02,Wednesday,January
876997,SKU_1461,T-shirt,24,2020-01-01 23:00,70.01,14803,Norway,0.12,Credit Card,13.16,Stationery,Online,Not Returned,Royal Mail,Paris,Low,1491.7712,1478.6112,1680.24,Wednesday,January
299041,SKU_1048,T-shirt,48,2020-01-02 0:00,27.87,26772,France,0.24,Bank Transfer,19.61,Electronics,Online,Not Returned,UPS,Berlin,Low,1036.3076,1016.6976,1337.76,Thursday,January
891743,SKU_1818,Blue Pen,30,2020-01-02 1:00,59.53,62114,Germany,0.25,paypall,23.67,Stationery,Online,Not Returned,DHL,Rome,Low,1363.095,1339.425,1785.9,Thursday,January
